"Day","pCO2_history","pCO2_exposure","MitoSoxGreen_Mean_FL1","JC10_FL2_FL1_Ratio","SYBR_PI_prop_alive_ADJ","MitoSoxGreen_Mean_FL1_NORMALIZED","JC10_FL2_FL1_Ratio_NORMALIZED","MDA_µmol_µg_protein","ATP_nmol_ng_protein"
14,"low","low",4351.16,0.724535174308338,0.892294772202394,0.416927774902902,0.108246562893526,NA,NA
14,"low","low",3549.43,0.75977975676841,0.854504395515767,0.188973176459884,0.171026206590112,NA,NA
14,"low","low",NA,NA,NA,NA,NA,NA,NA
14,"low","low",5483.65,0.706925143996499,0.930706999648259,0.738926830932654,0.0768785808861979,NA,NA
14,"low","low",5820.78,0.856974466909771,0.878648233486943,0.834782460350406,0.344154921585679,NA,NA
14,"low","moderate",3304.6,1.04020492247221,0.60866445421114,0.119361057246678,0.670535372470711,NA,NA
14,"low","moderate",2884.8,0.920744114895756,0.751341790680654,0,0.457745025362685,NA,NA
14,"low","moderate",2959.78,0.888139320442446,0.843311075293576,0.0213189425258597,0.399667521369039,NA,NA
14,"low","moderate",3175.33,1.22516683924818,0.508030231459613,0.0826059265409176,1,NA,NA
14,"low","moderate",4060.08,1.21149893707201,0.811258608643577,0.334165467748631,0.975653959593029,NA,NA
14,"low","severe",4811.77,0.795622984446122,0.900092222563787,0.547892273660387,0.234872191007479,NA,NA
14,"low","severe",3996.38,0.830459610613106,0.732176069435834,0.316053749438451,0.29692515988098,NA,NA
14,"low","severe",3911.59,1.06204409330667,0.907581385186804,0.291945545427147,0.709436538775334,NA,NA
14,"low","severe",4780.89,0.986285018583616,0.605117270788913,0.539112213041575,0.574490189977346,NA,NA
14,"low","severe",4496.92,0.80639223373681,0.638446643717728,0.458371480725379,0.254054986948246,NA,NA
14,"moderate","low",4603.11,0.757271277911865,0.831075359864522,0.488564312238062,0.166557962172329,NA,NA
14,"moderate","low",4188.5,0.674420087363492,0.899128499907287,0.370678919324663,0.0189787355392048,NA,NA
14,"moderate","low",4682.86,0.833722162324674,0.864364135407136,0.511239501174276,0.302736601518173,NA,NA
14,"moderate","low",4052.89,0.78435181160548,0.79483282674772,0.332121146639523,0.214795340450949,NA,NA
14,"moderate","low",6167.05,0.757230327636026,0.87156862745098,0.933236851233701,0.166485019224874,NA,NA
14,"moderate","moderate",4267.55,0.851767796490156,0.917459109927729,0.393155078389337,0.33488050574718,NA,NA
14,"moderate","moderate",3756.11,0.835403303638777,0.891148325358852,0.247738167674137,0.305731145511496,NA,NA
14,"moderate","moderate",3294.63,0.953282532972483,0.823414806942968,0.116526303219166,0.515704296000141,NA,NA
14,"moderate","moderate",3616.93,0.766670462166479,0.776015727391874,0.20816534264414,0.183300320780541,NA,NA
14,"moderate","moderate",3814.05,0.72415494909427,0.916943521594684,0.264212154469927,0.107569284236851,NA,NA
14,"moderate","severe",5408.67,0.822851904892568,0.858972683309371,0.717607888406794,0.283373884162934,NA,NA
14,"moderate","severe",6401.86,0.820338716676739,0.778587035688274,1,0.278897251168035,NA,NA
14,"moderate","severe",4958.32,0.747968456032977,0.700320855614973,0.589560598909316,0.149987249677975,NA,NA
14,"moderate","severe",5039.56,NA,0.938754690858746,0.612659437143523,NA,NA,NA
14,"moderate","severe",4789.05,0.778285623935341,0.978927203065134,0.54143233268696,0.203989903871884,NA,NA
14,"severe","low",5735.1,0.704821785669338,0.871699430033733,0.810421204073857,0.0731319600687997,NA,NA
14,"severe","low",5838.22,0.887974210153954,0.774398745207389,0.839741147435642,0.399373417584609,NA,NA
14,"severe","low",5202.43,0.770116750179555,0.888930163447251,0.658968001683224,0.189439043910027,NA,NA
14,"severe","low",5169.19,0.800453319389692,0.859373573189663,0.649516926068933,0.243476256810671,NA,NA
14,"severe","low",4754.09,0.738813313203689,0.902180756682502,0.531492212245455,0.133679591459434,NA,NA
14,"severe","moderate",5456.19,0.792399809265268,0.649032487129416,0.731119173400511,0.229130889073914,NA,NA
14,"severe","moderate",4554.72,0.663765397876368,0.888746686168754,0.47480566154686,0,NA,NA
14,"severe","moderate",4274.47,0.664514221665146,0.824462061155153,0.395122630833708,0.00133384728572865,NA,NA
14,"severe","moderate",5966.13,0.757514276354775,0.820350451075642,0.876109591533838,0.166990804742729,NA,NA
14,"severe","moderate",5896.23,1.13637260669933,0.755641521598968,0.856235037218586,0.84183469081968,NA,NA
14,"severe","severe",4854.99,0.729843448500464,0.854322421427016,0.560180946586069,0.117701961118288,NA,NA
14,"severe","severe",5697.12,0.838379775454789,0.89795008912656,0.799622411900849,0.311033005458166,NA,NA
14,"severe","severe",4269.89,NA,0.872094114702293,0.393820406817058,NA,NA,NA
14,"severe","severe",5908.06,1.0504086535322,0.861313868613139,0.859598642047619,0.688710835353486,NA,NA
14,"severe","severe",5196.1,0.712519454771505,0.883368537055744,0.657168202987723,0.0868434836504945,NA,NA
1,"low","low",72.06,107.6834625678,0.989412897016362,0.633815028901734,0.265829825228885,0.698337988420224,9.00285914429454
1,"low","low",72.85,107.279782870205,0.724049331963001,0.65664739884393,0.263013475490483,0.599998941761115,13.0668936203293
1,"low","low",75.62,123.652395347084,0.595793499043977,0.736705202312139,0.377240183300983,2.60719030368001,11.8209920926508
1,"low","low",80.29,118.319979106816,0.833086524222551,0.871676300578035,0.340037546723514,0.593473731097075,19.4512772187989
1,"low","low",57.32,98.6090049397753,0.701751282504865,0.207803468208092,0.202520110821431,2.41011454165958,9.85312853406594
1,"low","moderate",68.25,136.200879759802,0.688437348814707,0.523699421965318,0.464787119655845,0.407972922838253,20.8404725097125
1,"low","moderate",56.62,NA,0.768859384429692,0.18757225433526,NA,2.70081324025713,16.5013831753243
1,"low","moderate",58.76,NA,0.819969742813918,0.249421965317919,NA,1.04889614553974,27.5361564964871
1,"low","moderate",77.96,69.580913727038,0.442812982998454,0.804335260115607,0,1.15726347527347,20.3371375956075
1,"low","moderate",55.4,99.6539871274795,0.733982573039467,0.152312138728324,0.209810631817431,0.941991077526624,31.0302890360014
1,"low","severe",67.14,136.436927953563,0.713719512195122,0.491618497109827,0.466433955681312,0.951855914107756,7.81097907735449
1,"low","severe",50.13,127.354563497833,0.836415362731152,0,0.403069077756167,0.633219126292519,11.0695291349579
1,"low","severe",79.73,110.96263658309,0.700714285714286,0.855491329479769,0.288707619022226,2.44771649083305,28.4400539248776
1,"low","severe",69.23,110.382285548083,0.896165445928479,0.552023121387283,0.284658687417885,0.722055310949112,18.4840109662211
1,"low","severe",69.47,148.065252616318,0.997183098591549,0.558959537572254,0.54756121899704,1.09069536065343,17.180823517674
1,"moderate","low",70.17,160.469852046503,0.965543941153697,0.579190751445087,0.634104313852488,0.821847377487125,21.0182803914102
1,"moderate","low",66.93,119.200762312329,0.950576606260296,0.485549132947977,0.346182501659851,1.68705878504028,17.3186439689058
1,"moderate","low",79.74,145.18011323291,0.667626728110599,0.855780346820809,0.527432484269671,0.824916647601368,19.7751606847477
1,"moderate","low",75.55,165.379549242066,0.648102914834717,0.734682080924855,0.668357768992136,0.00746031183182431,21.6158436441653
1,"moderate","low",57.51,92.0706279748196,0.736196319018405,0.213294797687861,0.15690385524917,9.26351270693145,32.5641602587977
1,"moderate","low",57.51,92.0706279748196,0.736196319018405,0.213294797687861,0.15690385524917,2.68787754967307,32.5641602587977
1,"moderate","moderate",68.34,121.541655156851,0.61822102425876,0.526300578034682,0.362514194805616,0.680924955706315,21.4966346872317
1,"moderate","moderate",69.22,157.015084185795,0.61449325492909,0.551734104046243,0.610001455525176,2.46186737318998,10.1560541095366
1,"moderate","moderate",66.8,129.890107320644,0.474522292993631,0.481791907514451,0.420758791221135,0.170915155516742,22.9274454153111
1,"moderate","moderate",76.63,144.232823351529,0.605052169137836,0.765895953757225,0.520823532604495,0.526317366753383,18.2965242660819
1,"moderate","moderate",84.73,150.161089165487,0.997039230199852,1,0.562183229348691,4.52099893011295,13.1052939653547
1,"moderate","severe",66.7,NA,0.750438981562774,0.478901734104046,NA,0.293633860354563,16.6663008856434
1,"moderate","severe",70.1,126.078454833215,0.357617523997046,0.577167630057803,0.394166058047272,2.12252529884106,20.0521142026574
1,"moderate","severe",67.86,162.453115413967,0.644911979390296,0.51242774566474,0.647940935558798,0.927705042921045,10.5828722807723
1,"moderate","severe",65.55,113.68049024706,0.786039453717754,0.445664739884393,0.307669252468593,0.33331286225264,35.0826029249563
1,"moderate","severe",67.93,160.86789193822,0.72129221732746,0.514450867052023,0.636881316390861,1.6341118288066,8.10421307070979
1,"severe","low",63.61,127.804586815696,0.709156193895871,0.389595375722543,0.40620875275367,1.72884383571325,24.8093244392066
1,"severe","low",69.05,NA,NA,0.546820809248555,NA,0.374528046042015,22.1250839628585
1,"severe","low",66.84,121.06537449606,0.732418001525553,0.482947976878613,0.359191330360324,1.78931264366049,15.5173875334315
1,"severe","low",70.33,106.385480581598,0.734188034188034,0.583815028901734,0.256774202047761,1.30502963031797,29.605653730748
1,"severe","low",74.06,212.915277386025,0.741459113951951,0.691618497109827,1,0.866765000435297,12.4383821426494
1,"severe","moderate",65.51,113.663280183701,0.711096301232922,0.444508670520231,0.307549183122208,1.32687131452707,62.8239883692004
1,"severe","moderate",69.11,NA,0.609593837535014,0.548554913294798,NA,2.79940137286208,14.3026000186674
1,"severe","moderate",61.3,101.194436644651,0.775918515823936,0.322832369942196,0.220557876775636,3.21124022269128,7.06380913485137
1,"severe","moderate",64.84,97.2502059873661,0.765726681127983,0.42514450867052,0.193040186274921,0.44755259115766,11.7074427889294
1,"severe","moderate",66.71,178.892289523928,0.935567754984109,0.479190751445086,0.762632023517804,0.319448971908446,22.0017382026803
1,"severe","severe",62.95,126.91846254227,0.634848484848485,0.370520231213873,0.400026534820682,0.484765179131947,20.3154324185943
1,"severe","severe",67.11,128.411323597878,0.597989949748744,0.490751445086705,0.410441769642945,5.43239118214317,19.926172842116
1,"severe","severe",67.56,108.577147008801,0.632728963272896,0.503757225433526,0.2720647881379,0.406755640490586,13.1887199691864
1,"severe","severe",78.52,154.08701590973,0.67343976777939,0.820520231213873,0.589573219048463,1.30880487027193,12.6673514543131
1,"severe","severe",69.98,137.663586268144,0.627822944896116,0.573699421965318,0.474991975428059,0.741352253487473,18.9104623329902
