"","S1","S19","S20","S21","S2","S11","S12","S13","S14","S24","S33","S36","S34","S35","S18"
"rna-XR_011207857.1",1530,1247,1449,2252,1327,1542,2155,1209,1458,2065,3009,2029,1323,2650,1709
"rna-XM_069250357.1",419,0,307,443,0,421,462,530,434,485,912,0,501,400,0
"rna-XM_069274481.1",1004,678,995,1027,701,963,466,771,959,1312,1380,1296,909,913,705
"rna-XM_069274594.1",161,66,171,119,125,0,136,145,44,0,167,59,48,143,114
"rna-XM_069286093.1",0,208,98,0,0,0,174,484,0,77,591,368,0,124,0
"rna-XM_069268794.1",1163,1173,863,808,901,718,1000,995,686,785,1666,222,753,904,795
"rna-XM_069258159.1",600,274,728,1111,688,482,766,800,0,1060,1394,571,285,696,279
"rna-XM_069271650.1",0,0,216,0,0,266,0,0,204,276,1981,239,0,0,0
"rna-XM_069254711.1",513,432,376,315,377,408,515,481,518,538,895,261,389,428,551
"rna-XM_069262423.1",94,261,401,222,412,0,176,240,0,354,603,249,222,405,185
"rna-XM_069286233.1",318,258,310,219,479,472,1039,254,642,577,411,200,299,367,261
"rna-XM_069263410.1",248,334,184,319,827,339,894,0,436,566,375,307,204,736,925
"rna-XR_011206792.1",136,152,224,103,111,95,72,97,38,44,64,62,103,119,51
"rna-XM_069251341.1",249,250,210,116,209,141,89,275,0,238,325,161,152,71,196
"rna-XR_011209398.1",0,177,95,121,337,0,0,0,0,0,655,77,0,0,0
"rna-XM_069272599.1",712,307,743,0,0,684,1046,721,662,906,1575,0,762,734,0
"gene-LOC138320139",0,21,0,177,0,110,0,0,85,0,197,0,0,134,0
"rna-XM_069271571.1",0,0,720,226,0,0,1160,905,0,908,1380,0,305,624,535
"rna-XM_069251042.1",1623,2000,2229,1654,2095,1354,1333,2686,2338,2097,3817,1532,1759,1559,2835
"rna-XM_069269504.1",726,545,647,919,699,245,918,393,388,1069,594,1363,787,745,220
"rna-XM_069271771.1",874,1191,1732,904,842,1189,819,1037,948,789,1518,868,939,1293,1065
"rna-XM_069281623.1",624,199,0,721,0,673,0,0,1650,0,1797,1061,811,0,4961
"rna-XM_069247624.1",99,97,0,60,0,19,0,194,0,0,125,0,0,20,0
"rna-XM_069256983.1",3209,3439,3207,1758,1697,3025,2584,2723,2949,2659,4058,3924,2798,3218,3494
"rna-XM_069285759.1",167,597,3640,450,561,523,456,796,1011,245,799,182,1180,553,831
"rna-XR_011206034.1",77,139,175,102,76,0,0,38,81,34,171,152,0,0,159
"rna-XM_069275460.1",780,795,1217,740,778,332,512,420,672,946,632,560,933,1024,926
"rna-XM_069248845.1",829,621,284,573,494,340,640,872,397,341,1069,151,493,370,820
"rna-XM_069278829.1",0,366,525,886,0,506,315,399,113,313,706,0,0,0,0
"rna-XM_069254882.1",0,2084,232,0,0,424,0,0,811,552,1408,422,578,443,0
"rna-XM_069263273.1",334,457,371,333,0,359,350,284,582,556,459,0,393,403,208
"rna-XM_069269821.1",3581,3453,4400,2161,2538,2690,2829,3784,3313,2759,4911,2677,3822,3430,3464
"rna-XM_069266589.1",0,134,63,68,0,0,192,0,136,164,396,443,0,0,0
"rna-XM_069251417.1",502,265,381,0,0,0,354,695,455,0,0,0,0,0,0
"rna-XM_069272625.1",0,65,329,337,0,138,0,0,310,151,357,0,65,186,0
"rna-XM_069250018.1",0,0,0,786,594,635,695,0,0,1185,970,626,0,0,0
"rna-XM_069286526.1",634,524,757,542,413,647,559,770,713,601,580,519,749,745,447
"rna-XM_069246762.1",910,656,551,1001,686,836,833,588,659,1067,1035,1163,489,878,502
"rna-XM_069286405.1",7183,7221,7183,8861,6898,5924,4768,4721,5214,5956,6416,13148,4361,7219,7338
"rna-XM_069281210.1",184,185,183,159,0,129,0,298,58,197,286,183,59,320,734
"rna-XM_069270137.1",185,270,270,46,91,37,46,239,212,50,221,0,63,250,172
"rna-XM_069282309.1",371,283,272,163,301,177,236,443,211,217,409,328,252,272,308
"rna-XM_069270459.1",28,0,177,0,0,0,56,66,65,149,116,0,155,0,0
"rna-XM_069275048.1",775,749,1166,758,795,761,792,985,697,939,1249,483,894,1224,908
"rna-XM_069254296.1",2753,2647,4397,2891,2619,2299,3517,3299,3044,2585,3952,3041,2893,4225,3546
"rna-XM_069258900.1",115,99,90,98,84,126,154,234,157,207,260,171,184,172,117
"rna-XM_069260024.1",296,165,121,0,0,0,412,0,228,219,110,0,0,140,0
"rna-XM_069276014.1",948,881,1307,1298,1364,1466,1336,1153,1017,1425,1847,754,1143,1333,813
"rna-XM_069246844.1",364,522,742,695,687,546,773,172,508,501,567,664,0,68,0
"rna-XM_069283952.1",0,73,0,0,30,0,146,0,0,90,82,29,93,45,0
"rna-XM_069262269.1",0,707,809,1279,1348,677,2120,1761,1359,2346,0,1576,1152,1200,1052
"rna-XR_011207314.1",49,48,261,366,337,211,239,0,182,277,141,0,267,0,0
"gene-LOC138326398",47,144,96,164,0,0,0,102,81,25,308,0,162,156,112
"rna-XM_069246392.1",289,339,494,308,382,230,273,433,301,316,616,278,305,384,558
"rna-XM_069248170.1",682,623,857,784,956,472,773,527,939,1130,1155,341,523,0,246
"rna-XR_011209679.1",187,145,220,103,0,105,96,117,218,178,112,324,126,0,0
"rna-XM_069256865.1",257,196,256,88,191,0,121,44,92,242,280,381,0,94,179
"rna-XM_069285509.1",512,509,596,729,584,587,636,495,409,713,1023,549,492,762,545
"rna-XM_069284673.1",2784,2325,3632,4472,2798,2382,2731,1869,1909,3808,4010,2113,2064,3593,2093
"rna-XM_069260931.1",0,0,150,129,0,0,116,0,111,111,412,447,171,0,131
"rna-XM_069275884.1",2645,2345,2805,2604,2203,2386,2402,2758,2739,2501,3629,3079,2318,2747,2790
"rna-XM_069249473.1",2070,2636,2340,1238,1595,1861,2283,2764,2255,2241,3275,1635,2254,2131,2200
"rna-XM_069249683.1",379,457,480,0,336,407,461,442,136,363,739,0,390,337,251
"rna-XM_069281915.1",686,1184,1342,757,692,543,1283,1477,1396,1211,1818,755,1495,930,1076
"rna-XM_069270631.1",283,746,3010,1147,1304,579,943,977,953,2505,1647,809,1459,1208,938
"rna-XM_069244791.1",170,238,161,0,176,183,85,263,210,87,169,76,180,210,196
"rna-XM_069272206.1",1090,963,622,824,1196,1357,1185,799,773,1720,1441,1310,1036,763,462
"rna-XM_069281191.1",531,427,699,324,502,346,442,603,384,315,674,1687,325,508,600
"rna-XM_069246298.1",455,315,195,357,440,492,503,243,368,536,905,375,348,419,288
"rna-XM_069274301.1",0,58,345,130,0,0,0,143,105,99,0,239,0,0,249
"rna-XM_069279842.1",0,0,0,0,0,236,143,0,171,222,68,141,0,0,0
"rna-XM_069282227.1",261,227,0,0,0,0,660,0,0,253,790,303,329,0,0
"rna-XM_069275169.1",0,156,86,0,0,294,281,0,273,402,662,0,0,0,0
"rna-XM_069257374.1",203,202,301,186,190,210,134,186,159,156,230,77,145,216,233
"rna-XM_069256783.1",180,165,275,143,108,166,159,157,161,179,167,152,131,131,213
"rna-XM_069276954.1",466,56,510,387,434,455,203,376,263,528,398,222,327,453,405
