"","MEblack","MEblue","MEbrown","MEgreen","MEgreenyellow","MEmagenta","MEpink","MEpurple","MEred","MEtan","MEturquoise","MEyellow"
"S1",0.0496859666303969,-0.358126191814104,0.119563762967244,0.107606372257484,0.170740176865545,0.0810394689979368,-0.283448942531912,0.24677655399648,0.00335267572572366,0.446831220779856,0.124675445727891,-0.155821165959292
"S19",-0.0262570038815911,0.0900893532109953,-0.160711860035366,0.122631825701503,0.227144675534769,0.0468719090447902,0.0699738318038882,0.24989186211347,-0.169350412956021,0.0665117940559593,0.0104872530639751,0.00323912223908063
"S20",0.0797553832152251,0.229490662297652,-0.126848716043794,0.0116408778224092,-0.0636610105962889,0.0489880783570113,0.11301996475665,-0.0289830361690079,0.160585994892043,-0.226599242086604,-0.0660105044529956,0.045407882065391
"S21",0.223820729724989,-0.0599287214753434,0.387553022812869,0.029317903098436,-0.457189778109941,-0.483839438442455,-0.220321403408743,-0.602777030075042,0.0628255652555423,-0.355148200641775,0.21047300024071,-0.0281867714785049
"S2",-0.0125986438443517,-0.159816386619642,0.208476537633452,-0.0299488595248564,-0.105606212832967,-0.071823610775952,-0.454072422954444,-0.00597554650173903,0.150466742037818,0.0672466294260058,0.0382537423059563,-0.343399624722795
"S3",-0.266231056200226,0.0279515889473153,-0.20490469580223,-0.0761777197905553,0.0407303840882215,0.243790442146159,0.108236872771971,0.159991725396968,0.0476559395926233,0.0515155694810724,-0.112084604273741,-0.0070393059419839
"S22",-0.0065802783827606,0.0177177081650554,-0.168448863486133,-0.0213290574280417,-0.0440155780549909,0.261202151108405,0.0793674868637189,0.0630977171127319,0.0141919984439114,-0.0671180055693629,0.0410731610816352,0.0474900621892113
"S23",-0.015216069560801,0.145216089181898,-0.163431467730196,0.0629094012875034,0.229282492386533,0.0120036519866255,0.126043962469773,0.150580135111123,-0.219187134400572,0.00189878763577405,-0.0580013572683795,0.109618131537851
"S5",0.191616345253824,0.242247560431259,-0.199051745245687,-0.182047619509462,0.162143741150808,-0.130571123946874,-0.152829781138411,0.0120933797151579,0.0127036495211473,-0.178021289835145,-0.357508985692049,-0.320022205887772
"S6",0.0679492584144346,-0.123928781319878,0.0413221729434136,0.032818304448472,0.0444431608655502,0.0308900320678984,0.0863765561488293,0.0550953672753057,0.016278469114032,0.244315311405556,-0.0643585854003202,-0.0599425348374107
"S7",0.305864607421852,0.179214667868927,-0.0252393788430317,-0.891231054912478,0.0360421457536578,-0.268848733539462,-0.228385601642449,-0.45933007289705,0.486576246017009,-0.242967962442102,-0.313538076402006,-0.279742133018075
