initial_alias,converted_alias,name,description,namespace
LOC111100708,LOC111100708,LOC111100708,40S ribosomal protein S13-like,ENSG
LOC111101507,LOC111101507,LOC111101507,60S ribosomal protein L32-like,ENSG
LOC111101860,LOC111101860,LOC111101860,60S ribosomal protein L35a-like,ENSG
LOC111102380,LOC111102380,LOC111102380,40S ribosomal protein S4-like,ENSG
LOC111103110,LOC111103110,LOC111103110,60S ribosomal protein L13a-like,ENSG
LOC111105223,LOC111105223,LOC111105223,uncharacterized LOC111105223,ENSG
LOC111105616,LOC111105616,LOC111105616,"60S ribosomal protein L44-like, transcript variant X2",ENSG
LOC111106322,LOC111106322,LOC111106322,60S ribosomal protein L18a-like,ENSG
LOC111106468,LOC111106468,LOC111106468,40S ribosomal protein S23,ENSG
LOC111111438,LOC111111438,LOC111111438,60S ribosomal protein L27,ENSG
LOC111112573,LOC111112573,LOC111112573,elongation factor 1-beta-like,ENSG
LOC111114067,LOC111114067,LOC111114067,40S ribosomal protein S11-like,ENSG
LOC111114718,LOC111114718,LOC111114718,60S acidic ribosomal protein P1-like,ENSG
LOC111115132,LOC111115132,LOC111115132,60S ribosomal protein L37a,ENSG
LOC111115985,LOC111115985,LOC111115985,40S ribosomal protein S27-like,ENSG
LOC111118104,LOC111118104,LOC111118104,60S ribosomal protein L23,ENSG
LOC111118126,LOC111118126,LOC111118126,40S ribosomal protein S9,ENSG
LOC111118248,LOC111118248,LOC111118248,40S ribosomal protein S12-like,ENSG
LOC111118348,LOC111118348,LOC111118348,40S ribosomal protein S15Aa,ENSG
LOC111118510,LOC111118510,LOC111118510,40S ribosomal protein S20,ENSG
LOC111118540,LOC111118540,LOC111118540,40S ribosomal protein SA-like,ENSG
LOC111119040,LOC111119040,LOC111119040,40S ribosomal protein S2,ENSG
LOC111119059,LOC111119059,LOC111119059,"60S ribosomal protein L34-like, transcript variant X1",ENSG
LOC111119071,LOC111119071,LOC111119071,60S ribosomal protein L12-like,ENSG
LOC111119359,LOC111119359,LOC111119359,"40S ribosomal protein S24-like, transcript variant X2",ENSG
LOC111119576,LOC111119576,LOC111119576,"39S ribosomal protein L15, mitochondrial-like",ENSG
LOC111119745,LOC111119745,LOC111119745,60S ribosomal protein L10-like,ENSG
LOC111120067,LOC111120067,LOC111120067,60S ribosomal protein L27a-like,ENSG
LOC111120557,LOC111120557,LOC111120557,40S ribosomal protein S14,ENSG
LOC111120619,LOC111120619,LOC111120619,probable 60S ribosomal protein L37-A,ENSG
LOC111121848,LOC111121848,LOC111121848,40S ribosomal protein S7-like,ENSG
LOC111122453,LOC111122453,LOC111122453,40S ribosomal protein S21-like,ENSG
LOC111122600,LOC111122600,LOC111122600,ubiquitin-60S ribosomal protein L40,ENSG
LOC111122819,LOC111122819,LOC111122819,"60S ribosomal protein L21-like, transcript variant X1",ENSG
LOC111124252,LOC111124252,LOC111124252,uncharacterized LOC111124252,ENSG
LOC111124874,LOC111124874,LOC111124874,60S ribosomal protein L19-like,ENSG
LOC111125240,LOC111125240,LOC111125240,"40S ribosomal protein S26-like, transcript variant X1",ENSG
LOC111125548,LOC111125548,LOC111125548,40S ribosomal protein S5,ENSG
LOC111125652,LOC111125652,LOC111125652,eukaryotic translation initiation factor 3 subunit F-like,ENSG
LOC111125711,LOC111125711,LOC111125711,eukaryotic translation initiation factor 1-like,ENSG
LOC111126040,LOC111126040,LOC111126040,60S ribosomal protein L28-like,ENSG
LOC111126078,LOC111126078,LOC111126078,40S ribosomal protein S3,ENSG
LOC111126128,LOC111126128,LOC111126128,40S ribosomal protein S3a-like,ENSG
LOC111126281,LOC111126281,LOC111126281,40S ribosomal protein S18,ENSG
LOC111126614,LOC111126614,LOC111126614,60S ribosomal protein L5-like,ENSG
LOC111126648,LOC111126648,LOC111126648,"28S ribosomal protein S18a, mitochondrial-like",ENSG
LOC111127354,LOC111127354,LOC111127354,60S ribosomal protein L9-like,ENSG
LOC111127437,LOC111127437,LOC111127437,60S ribosomal protein L35-like,ENSG
LOC111127638,LOC111127638,LOC111127638,40S ribosomal protein S16,ENSG
LOC111127769,LOC111127769,LOC111127769,"30S ribosomal protein S11-like, transcript variant X4",ENSG
LOC111128580,LOC111128580,LOC111128580,40S ribosomal protein S15-like,ENSG
LOC111128745,LOC111128745,LOC111128745,60S ribosomal protein L17-like,ENSG
LOC111129410,LOC111129410,LOC111129410,60S ribosomal protein L11-like,ENSG
LOC111129902,LOC111129902,LOC111129902,elongation factor 1-gamma-like,ENSG
LOC111130094,LOC111130094,LOC111130094,60S ribosomal protein L4-like,ENSG
LOC111130771,LOC111130771,LOC111130771,40S ribosomal protein S6-like,ENSG
LOC111131049,LOC111131049,LOC111131049,60S ribosomal protein L36-like,ENSG
LOC111131216,LOC111131216,LOC111131216,"ubiquitin-40S ribosomal protein S27a, transcript variant X1",ENSG
LOC111131662,LOC111131662,LOC111131662,"ubiquitin-like protein FUBI, transcript variant X1",ENSG
LOC111132903,LOC111132903,LOC111132903,60S ribosomal protein L23a-like,ENSG
LOC111135077,LOC111135077,LOC111135077,40S ribosomal protein S8-like,ENSG
LOC111135849,LOC111135849,LOC111135849,60S ribosomal protein L13-like,ENSG
LOC111136230,LOC111136230,LOC111136230,60S ribosomal protein L14-like,ENSG
LOC111136247,LOC111136247,LOC111136247,60S ribosomal protein L6-like,ENSG
LOC111136425,LOC111136425,LOC111136425,60S ribosomal protein L26-like,ENSG
LOC111136624,LOC111136624,LOC111136624,60S ribosomal protein L22-like,ENSG
LOC111136666,LOC111136666,LOC111136666,"eukaryotic translation initiation factor 5A-1-like, transcript variant X3",ENSG
LOC111137089,LOC111137089,LOC111137089,60S ribosomal protein L8-like,ENSG
LOC111137903,LOC111137903,LOC111137903,60S acidic ribosomal protein P2-like,ENSG
LOC111099983,LOC111099983,LOC111099983,"28S ribosomal protein S35, mitochondrial-like",ENSG
LOC111107427,LOC111107427,LOC111107427,"DNA excision repair protein ERCC-1-like, transcript variant X2",ENSG
LOC111121303,LOC111121303,LOC111121303,"39S ribosomal protein L13, mitochondrial-like",ENSG
LOC111121432,LOC111121432,LOC111121432,"28S ribosomal protein S7, mitochondrial-like",ENSG
LOC111125877,LOC111125877,LOC111125877,"39S ribosomal protein L30, mitochondrial-like",ENSG
LOC111128646,LOC111128646,LOC111128646,"39S ribosomal protein L14, mitochondrial-like",ENSG
LOC111130763,LOC111130763,LOC111130763,"39S ribosomal protein L11, mitochondrial-like",ENSG
LOC111131076,LOC111131076,LOC111131076,"39S ribosomal protein L4, mitochondrial-like",ENSG
LOC111133074,LOC111133074,LOC111133074,"39S ribosomal protein L35, mitochondrial-like, transcript variant X1",ENSG
LOC111133190,LOC111133190,LOC111133190,"39S ribosomal protein L23, mitochondrial-like",ENSG
LOC111134635,LOC111134635,LOC111134635,"39S ribosomal protein L16, mitochondrial-like",ENSG
LOC111135100,LOC111135100,LOC111135100,"39S ribosomal protein L52, mitochondrial-like",ENSG
LOC111136578,LOC111136578,LOC111136578,"28S ribosomal protein S23, mitochondrial-like",ENSG
LOC111136789,LOC111136789,LOC111136789,"uncharacterized LOC111136789, transcript variant X1",ENSG
LOC111136890,LOC111136890,LOC111136890,"39S ribosomal protein L47, mitochondrial-like",ENSG
LOC111137692,LOC111137692,LOC111137692,"39S ribosomal protein L12, mitochondrial-like",ENSG
