"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 2-phosphoxylose phosphatase 1-like","rna-XM_069255194.1",11.3774633926879,11.4064671488621,11.3675521440821,11.4314282341495,1.00254922869652,1.00306212487402,"threshold likely","XM_022489528.1","LOC111137836","crg:105343356","",245
"2"," 5-hydroxytryptamine receptor 1F-like","rna-XM_069261930.1",12.006295039631,12.0177957282408,12.0251751634987,12.0478133958006,1.00095788822212,1.00092379674202,"threshold likely","XM_022474009.1","LOC111128412","crg:105349051","GO:0003674;GO:0005575;GO:0007165",390
"3"," 60 kDa SS-A/Ro ribonucleoprotein-like","rna-XM_069285757.1",12.5447389921549,12.7153362536839,12.4320459386893,12.7370837105776,1.0135991080911,1.01079055956885,"threshold likely","XM_022459905.1","LOC111119592","crg:105348950","GO:0003723",577
"4"," 8-oxo-dGDP phosphatase NUDT18-like","rna-XM_069283336.1",11.8692982090461,11.8855294838548,11.8833716230231,11.9496201106788,1.00136750080104,1.00420164328248,"threshold likely","XM_022434425.1","LOC111101814","crg:105337872","GO:0003674",362
"5"," actin-depolymerizing factor 7-like","rna-XM_069262346.1",11.6314734249833,11.6342209033392,11.6565533731022,11.7299869840346,1.00023621068936,1.00606212785931,"threshold likely","XM_022474422.1","LOC111128666","crg:105336976","GO:0005856;GO:0007010;GO:0008092",152
"6"," ADP-ribosylation factor-like protein 4C","rna-XM_069268745.1",11.8165770032478,11.9489024710917,11.9419144896848,12.0932792102429,1.01119829099472,1.00146043455445,"threshold likely","XM_022463474.1","LOC111121974","crg:105322544","GO:0043167",182
"7"," ADP-ribosylation factor 2","rna-XM_069254400.1",12.0662873075319,12.0899925064096,11.9308767540356,12.1269439277978,1.00196458100768,1.01444064226905,"threshold likely","XM_022449759.1","LOC111112319","crg:105328970","GO:0043167",182
"8"," afadin-like","rna-XM_069286346.1",12.5366859093395,12.5724362397575,12.3934701597449,12.5267979093679,1.00285165718249,1.00788376401,"threshold likely","XM_022437329.1","LOC111103819","crg:105347753","GO:0003674;GO:0005575;GO:0007165",2635
"9"," akirin-2-like","rna-XM_069275546.1",12.0553401492356,12.0901998495139,12.0648200902675,12.1040921475555,1.00289163970877,1.00036240087153,"threshold likely","XM_022438878.1","LOC111104765","crg:105337046","",189
"10"," aldehyde dehydrogenase, mitochondrial-like","rna-XM_069282559.1",13.6741663259306,13.8764540365176,13.5826346163317,14.1672226115149,1.01479342182663,1.02783418230733,"threshold likely","XM_022477492.1","LOC111130419","crg:105344389","GO:0016491",519
"11"," allantoinase, mitochondrial-like","rna-XM_069261478.1",11.8183537178121,12.4360555587398,11.8637533135649,12.5703640606726,1.05226631861566,1.00693185105365,"threshold likely","XM_022485340.1","LOC111135359","crg:105330147","GO:0009056;GO:0016810;GO:0034641;GO:0043167;GO:0044281",458
"12"," allatostatin-A receptor-like","rna-XM_069254689.1",11.3585827280501,11.3636112829192,11.4545737484641,11.593969783845,1.00044270971032,1.011721566131,"threshold likely","XM_022482340.1","LOC111133718","crg:105337375","GO:0003674;GO:0005575;GO:0007165",352
"13"," alpha-L-fucosidase-like","rna-XM_069256795.1",12.1894249241553,12.2825684805039,12.0266136377083,12.2752792221381,1.00764134132071,1.01293608575831,"threshold likely","XM_022459620.1","LOC111119431","crg:105322568","GO:0005975;GO:0016798;GO:0044281",462
"14"," ankyrin repeat and death domain-containing protein 1A-like","rna-XM_069282201.1",11.5186657117114,11.604276231819,11.4578832816175,11.635229464831,1.00743232959878,1.0079864058181,"threshold likely","XM_022473769.1","LOC111128245","crg:105346899","GO:0003674;GO:0007165",536
"15"," anti-apoptotic protein NR13-like","rna-XM_069282102.1",12.9347515119593,13.1654475838368,13.0901790519105,13.3397217547113,1.01783536944364,1.00120646569572,"threshold likely","XM_022478791.1","LOC111131320","crg:105335025","GO:0008219",226
"16"," AP-1 complex subunit sigma-2","rna-XM_069247394.1",11.4555543357872,11.6479374559164,11.3646571116831,11.7774597124248,1.0167938726045,1.01920693467034,"threshold likely","XM_022483678.1","LOC111134551","crg:105344281","GO:0005737;GO:0016192;GO:0032991",161
