"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 26S proteasome non-ATPase regulatory subunit 1-like","evm.model.Contig632.32_evm.model.Contig632.37",11.7794295494523,11.8074468956634,11.7503146220574,11.9433758943667,1.00237849771022,1.01401846603636,"activated","XM_022488197.1","LOC111136988","crg:105330688","GO:0005622;GO:0009056;GO:0030234;GO:0032991",983
"2"," 26S proteasome non-ATPase regulatory subunit 14","evm.model.Contig141.73",11.0328914625065,11.0848913846664,11.039349736851,11.1881741169161,1.00471317263808,1.00872695896166,"activated","XM_022443918.1","LOC111108200","crg:105329473;crg:105338045","GO:0003674",311
"3"," 3-ketoacyl-CoA thiolase, mitochondrial-like","evm.model.Contig82.108",10.9350939247625,11.0386332860391,10.9186135995421,11.1397388133857,1.00946853881539,1.01068244693417,"activated","XM_022473280.1","LOC111127947","crg:105320064","GO:0016746",400
"4"," 39S ribosomal protein L11, mitochondrial-like","evm.model.Contig53.28",9.97610656439495,10.0217842687736,9.94244200160732,10.0852042977793,1.00457871055043,1.00973558943936,"activated","XM_022477994.1","LOC111130763","crg:105319619","GO:0003735;GO:0005840;GO:0006412;GO:0042254",200
"5"," 39S ribosomal protein L30, mitochondrial-like","evm.model.Contig224.62",10.2217464869707,10.2277346499442,10.2462509214082,10.2747918553455,1.00058582581569,1.00219838650752,"activated","XM_022470085.1","LOC111125877","crg:105327405","GO:0003735;GO:0005840;GO:0006412;GO:0042254",246
"6"," acylamino-acid-releasing enzyme-like","evm.model.Contig347.73",9.70384901553401,9.8980097777099,9.66031242291663,9.96366077796881,1.02000863387972,1.01116938757567,"activated","XM_022445579.1","LOC111109462","crg:105317255;crg:105329391","GO:0008233",709
"7"," ATP-binding cassette sub-family D member 3-like","evm.model.Contig1515.12",10.1261349509483,10.24973700867,10.108211717105,10.2784291927375,1.01220624239361,1.0045774088253,"activated","XM_022463275.1","LOC111121838","crg:105341323","GO:0005777;GO:0016887;GO:0022857;GO:0043167",657
"8"," beta-1,3-galactosyltransferase brn-like","evm.model.Contig419.75",10.4135206395301,10.4821017961868,10.4402240077893,10.5100648591334,1.00658578006715,1.00010313389796,"activated","XM_022485057.1","LOC111135186","crg:105334278","GO:0005575;GO:0006464;GO:0009058;GO:0016757",360
"9"," calmodulin-4-like","evm.model.Contig353.33.2",10.1635740493373,10.3222416105249,10.1435137685703,10.3029812141346,1.01561139422189,1.00010804383346,"activated","XM_022457953.1","LOC111118447","crg:105331896","GO:0043167",212
"10"," calpain-9-like","evm.model.Contig675.39",10.444443421915,10.5123956466766,10.4339621488723,10.5306739972784,1.00650606470988,1.00274502358787,"activated","XM_022453914.1","LOC111115251","crg:105318780","GO:0005622;GO:0008233",830
"11"," caspase-2-like","evm.model.Contig1408.3",10.9663201628817,11.0089991702925,10.9774763215631,11.0818382939568,1.00389182576989,1.0055933244557,"activated","XM_022489840.1","LOC111138053","crg:105343974","GO:0008219;GO:0008233",427
"12"," cat eye syndrome critical region protein 2-like","evm.model.Contig346.20",10.3700823087333,10.5111912276039,10.2313121825167,10.5040587982028,1.01360730943782,1.01287551828503,"activated","XM_022430920.1","LOC111099580","crg:105340520","",618
"13"," cell division control protein 42-like","evm.model.Contig625.50",10.0078807881413,10.1801326980394,10.0664002462542,10.2437929393972,1.01721162687132,1.00040368219462,"activated","XM_022477188.1","LOC111130298","crg:105337859","GO:0003924;GO:0005622;GO:0007165;GO:0043167",226
"14"," centrosomal protein of 41 kDa-like","evm.model.Contig347.42",10.5002525130951,10.5562364303178,10.4895040065847,10.5555588533712,1.00533167341956,1.00096043845517,"activated","XM_022441846.1","LOC111106953","crg:105317666","",343
"15"," centrosomal protein of 57 kDa-like","evm.model.Contig468.3",10.7584599679739,10.8856348919085,10.7236061539972,10.8553551156,1.01182092272622,1.00045952740189,"activated","XM_022433646.1","LOC111101228","crg:105318470","GO:0005856;GO:0007010;GO:0008092;GO:0032991",532
"16"," chromodomain-helicase-DNA-binding protein Mi-2 homolog","evm.model.Contig1378.9",11.0843437406022,11.2768950387224,11.1094469409404,11.4068752269972,1.01737146579232,1.0092405676165,"activated","XM_022486681.1","LOC111136084","crg:105345699","GO:0043167",2122
"17"," cleavage and polyadenylation specificity factor subunit 1-like","evm.model.Contig1092.4",9.98081522962606,10.1848766155579,10.0369892191107,10.2719696477549,1.02044536255176,1.00290665557592,"activated","XM_022487700.1","LOC111136672","crg:105342117","GO:0003674;GO:0005634",1434
"18"," coatomer subunit alpha-like","evm.model.Contig82.245.1",11.4445169601314,11.5562854257809,11.3806474846074,11.5772546671856,1.00976611472891,1.00743682726892,"activated","XM_022452500.1","LOC111114212","crg:105323219","GO:0005198;GO:0005794;GO:0016192;GO:0031410;GO:0032991",1240
"19"," coiled-coil and C2 domain-containing protein 2A-like","evm.model.Contig330.3",10.2034532354979,10.2354350817008,10.182991317535,10.3180144579599,1.00313441395426,1.01009362198571,"activated","XM_022460855.1","LOC111120134","crg:105327578","",1744
"20"," coiled-coil domain-containing protein 34-like","evm.model.Contig42.133",10.3630359414387,10.3772578443665,10.3106132892944,10.425680383946,1.00137236838781,1.00977428077336,"activated","XM_022451515.1","LOC111113325","crg:105336192","",349
"21"," COP9 signalosome complex subunit 7b-like","evm.model.Contig483.7",10.5386324117047,10.5578639651814,10.5520917380124,10.6519076629631,1.00182486234698,1.00762058076009,"activated","XM_022487366.1","LOC111136485","crg:105319599","GO:0005634;GO:0032991;GO:0065003",263
"22"," cytochrome P450 4A25-like","evm.model.Contig708.20",9.76955270021591,9.92246748198922,9.82993373705581,10.1773027130544,1.01565217840218,1.01938232168593,"activated","XM_022489263.1","LOC111137681","crg:105332013","GO:0016491;GO:0043167",499
"23"," DNA repair protein RAD50-like","evm.model.Contig229.59",10.0502939862656,10.1929773445781,9.98666534384771,10.3112928741553,1.01419693379193,1.01805286960925,"activated","XM_022472357.1","LOC111127260","crg:105348735","GO:0005634;GO:0006259;GO:0006950;GO:0016887;GO:0032991;GO:0042592;GO:0051276",1312
"24"," dynein assembly factor 4, axonemal-like","evm.model.Contig650.34",10.4356585353259,10.4789671770431,10.3823544922382,10.4397064111052,1.00415006312927,1.00136823862286,"activated","XM_022475760.1","LOC111129396","crg:105323203","GO:0003674;GO:0008150",398
"25"," E3 ubiquitin-protein ligase RBBP6-like","evm.model.Contig328.70",11.4584007187143,11.5113081167428,11.4232972872255,11.5583856891264,1.00461734576468,1.00717521635455,"activated","XM_022437995.1","LOC111104183","crg:105340483","",962
"26"," enoyl-[acyl-carrier-protein] reductase, mitochondrial-like","evm.model.Contig1425.3",10.0035485918384,10.0345452851447,9.85520098423696,10.0011460368399,1.00309856977469,1.01167419413382,"activated","XM_022437664.1","LOC111103990","crg:105348442;crg:105348492","GO:0016491",372
"27"," eukaryotic translation initiation factor 3 subunit A-like","evm.model.Contig1110.7",11.6424751830148,11.770390089614,11.5413000347421,11.7302372724545,1.01098691683585,1.00532511002441,"activated","XM_022483067.1","LOC111134216","crg:105339951","GO:0005737;GO:0032991",1276
"28"," eukaryotic translation initiation factor 5B-like","evm.model.Contig505.3",10.8237764827555,10.9731655631175,10.7162889930543,10.9304697023016,1.01380193693024,1.00610032931645,"activated","XM_022467766.1","LOC111124673","crg:105325241","GO:0003924;GO:0043167",1238
"29"," exocyst complex component 5-like","evm.model.Contig79.207",10.1122770130667,10.2127977080722,10.0758388873983,10.2304438034956,1.00994046097388,1.0053504763096,"activated","XM_022478692.1","LOC111131258","crg:105317490","GO:0005737;GO:0016192;GO:0032991",714
"30"," exodeoxyribonuclease-like","evm.model.Contig219.60",10.2165401370952,10.2537501621425,10.1609177000281,10.2149742200311,1.00364213564944,1.00167181845146,"activated","XM_022434714.1","LOC111102061","crg:105323590","GO:0003677;GO:0004518;GO:0005622;GO:0006259;GO:0006950",404
"31"," F-box only protein 4-like","evm.model.Contig420.13",9.77720490446775,9.8920513077303,9.74890582006844,9.88352922252434,1.01174634308933,1.00203878678287,"activated","XM_022461470.1","LOC111120618","crg:105328968","GO:0003674;GO:0009056",397
"32"," F-box only protein 4-like","evm.model.Contig420.13",9.77720490446775,9.8920513077303,9.74890582006844,9.88352922252434,1.01174634308933,1.00203878678287,"activated","XM_022461470.1","LOC111120618","crg:105328968","GO:0003674;GO:0009056",397
"33"," F-box only protein 4-like","evm.model.Contig420.13",9.77720490446775,9.8920513077303,9.74890582006844,9.88352922252434,1.01174634308933,1.00203878678287,"activated","XM_022461470.1","LOC111120618","crg:105328968","GO:0003674;GO:0009056",397
"34"," F-box only protein 4-like","evm.model.Contig420.13",9.77720490446775,9.8920513077303,9.74890582006844,9.88352922252434,1.01174634308933,1.00203878678287,"activated","XM_022461470.1","LOC111120618","crg:105328968","GO:0003674;GO:0009056",397
"35"," fucose mutarotase-like","evm.model.Contig178.59",10.3303064179752,10.4002510845637,10.4170069021158,10.5324111822059,1.00677082206069,1.00427865695209,"activated","XM_022430655.1","LOC111099221","crg:105343072","GO:0005975;GO:0016853;GO:0044281",149
"36"," general transcription factor IIF subunit 1-like","evm.model.Contig420.14",10.3650173727696,10.4453883959368,10.3630646965273,10.4464156628372,1.0077540654566,1.00028679150663,"activated","XM_022459019.1","LOC111119151","crg:105328977","GO:0003677;GO:0005634;GO:0009058;GO:0034641",530
"37"," glutathionyl-hydroquinone reductase YqjG-like","evm.model.Contig124.95_evm.model.Contig124.96",10.4270453633816,10.5173831848915,10.3426566504901,10.5788766642216,1.00866379864685,1.01405383608399,"activated","XM_022478982.1","LOC111131445","crg:105321344","GO:0006790;GO:0016765;GO:0034641;GO:0051186",329
"38"," golgin subfamily A member 6-like protein 22","evm.model.Contig223.128",10.2129356616175,10.4142768095323,10.2533770202437,10.5553787492023,1.01971432647632,1.00955125621953,"activated","XM_022437529.1","LOC111103907","crg:105322785","",1475
"39"," GTP-binding protein YPTC1-like","evm.model.Contig740.18",9.91198993563444,10.0028149407605,9.91618337782537,10.1253150154093,1.00916314541438,1.01181849246891,"activated","XM_022478020.1","LOC111130783","crg:105341616","GO:0003924;GO:0043167",310
